incident,address,date,charges,latitude,longitude
15011339,"US-6 & Broadway St, Iowa City, IA 52240, USA",10/24/2015  23:05,1) OWI,41.6420049,-91.5200041
15011337,"2410 Lakeside Dr, Iowa City, IA 52240, USA",10/24/2015  19:45,1) Public Intoxication,41.634189,-91.501451
15011330,"2427 Bartelt Rd, Iowa City, IA 52246, USA",10/24/2015  17:00,1) Child endangerment/abuse- no injury,41.6536766,-91.5749049
15011313,"N Dubuque St & E Jefferson St, Iowa City, IA 52245, USA",10/24/2015  02:14,"1) OWI
2) License-possess ficticious DL/ID",41.6624661,-91.5330811
15011312,"10 S Clinton St, Iowa City, IA 52240, USA",10/24/2015  01:53,1) Criminal Mischief 2nd Degree,41.6608607,-91.5342869
15011311,"127 E College St, Iowa City, IA 52240, USA",10/24/2015  02:03,1) Public Intoxication,41.658919,-91.533477
15011304,"100 S Clinton St, Iowa City, IA 52240, USA",10/24/2015  00:29,"1) Interference - Interference with official acts
2) Public Intoxication",41.6600868,-91.5345984
15011303,"S Clinton St & Lafayette St, Iowa City, IA 52240, USA",10/24/2015  00:05,1) OWI,41.6522547,-91.53471
15011283,"204 N Dubuque St, Iowa City, IA 52245, USA",10/21/2015  21:00,1) Theft 3rd Degree,41.6639935,-91.5327495
15011281,"100 Hawk Ridge Rd, Iowa City, IA 52246, USA",10/23/2015  02:20,"1) Possess Controlled Substance - Marijuana
2) Public Intoxication",41.6477483,-91.5521693
15011280,"300 S Johnson St, Iowa City, IA 52240, USA",10/23/2015  02:13,1) OWI,41.6578101,-91.5272528
15011279,"W Burlington St & Front St, Iowa City, IA 52242, USA",10/23/2015  01:43,1) Public Intoxication,41.6579177,-91.5390906
15011276,"Keokuk St & Southgate Ave, Iowa City, IA 52240, USA",10/22/2015  22:55,1) Drive while license under suspension/cancelled,41.640647,-91.524919
15011266,"170 E Court St, Iowa City, IA 52240, USA",10/22/2015  16:21,1),41.6569074,-91.5335631
15011231,"2214 Muscatine Ave, Iowa City, IA 52240, USA",10/21/2015  12:01,1),41.6500156,-91.5028535
1501162,"1819 Hollywood Ct, Iowa City, IA 52240, USA",10/31/2015  23:32,1) Assault- Domestic Assault w/injury-serious or aggravated,41.639879,-91.51017
